"","organization_clnd","mean_citations_3","first_year","num_patents_all","num_patents_3","mean_assignees_all","mean_assignees_3","mean_inventors_all","mean_inventors_3"
"356","Daylight Solutions",0,2008,41,1,1,1,2.70731707317073,2
"357","DCG SYSTEMS",0,2011,1,0,1,0,3,0
"358","DECA Technologies",1,1994,46,1,1,1,1.95652173913043,2
"359","Deep Science",0,2016,25,1,1,1,5.32,6
"360","Deep Well Power",0,2016,1,1,1,1,1,1
"361","DEKA Products Limited Partnership",3,1992,690,1,1,1,3.97101449275362,7
"362","Delavau",0,2007,45,1,1,1,3.22222222222222,2
"363","Dell Software",0,2013,159,1,1,1,2.79874213836478,1
"364","Delphi Technologies",0,1991,5127,2,1.01716403354788,1,2.72596060074117,3.5
"365","Delta Electronics",1.5,1979,2036,5,1.02013752455796,1,2.69646365422397,1.4
"366","Denso",1.16666666666667,1976,13703,19,1.16237320294826,1.47368421052632,2.86689046194264,3.10526315789474
"367","Dentsply",0,1985,207,3,1.0048309178744,1,2.38647342995169,4.66666666666667
"368","Deployable Space Systems",2,2014,13,3,1,1,3.07692307692308,3
"369","DePuy Synthes Products",0,2013,1300,2,1.01846153846154,1,3.28615384615385,5.5
"370","Dermazone Solutions",0,2013,6,2,1,1,1,1
"371","Dexerials",1,1993,240,7,1.00833333333333,1,2.96666666666667,2.71428571428571
"372","Dialight",0,1990,104,1,1,1,2.35576923076923,5
"373","Dialogic",0,2013,12,0,1,0,3.41666666666667,0
"374","Diamicron",0,1996,64,1,1.078125,1,4.5,4
"375","Diamond Innovations",0,2004,88,1,1.03409090909091,1,2.625,2
"376","DIC",0,1977,428,5,1.12383177570093,1.2,3.3481308411215,4
"377","Digital Wind Systems",0,2015,5,1,1,1,1,1
"378","DiscoveRx",0,2002,3,0,1,0,2.66666666666667,0
"379","DISCOVERYBIOMED",0,2015,4,2,1,1,3.25,2.5
"380","Disney Enterprises",1,1998,1456,1,1.03296703296703,1,3.13049450549451,3
"381","DNA Twopointo",0,2009,17,1,1,1,2.58823529411765,3
"382","Dolby Laboratories Licensing",1,1981,1147,2,1.04795117698344,1,2.50915431560593,1.5
"383","Domtar Paper Company",0,2016,3,1,1,1,2.66666666666667,3
"384","Dongbu Hitek Co",0,2007,872,1,1.00114678899083,1,1.24770642201835,3
"385","Dow AgroSciences",0,1998,1017,10,1.07276302851524,1.1,6.43166175024582,5.3
"386","Dow Corning",0,2009,2,0,1.5,0,3.5,0
"387","Dow Global Technologies",0,2002,2760,21,1.12355072463768,1.33333333333333,4.57717391304348,4.09523809523809
"388","Dow Technology Investments",0,2009,69,1,1.02898550724638,1,4.7536231884058,3
"389","DPD",1,1985,67,3,1.02985074626866,1,1.82089552238806,2
"390","DPx Holdings BV",0,2015,10,1,1,1,3.6,3
"391","Dresser-Rand Company",1,1988,306,1,1.00980392156863,1,1.91830065359477,1
"392","Drexel University",1,1976,384,11,1.22395833333333,1.09090909090909,3.72395833333333,3.63636363636364
"393","DRS Network & Imaging Systems",0,2015,31,4,1.03225806451613,1,3.2258064516129,2
"394","DSP Group",0,1989,43,0,1,0,1.95348837209302,0
"395","Duke University",1.75,1980,1255,8,1.30358565737052,1.5,3.72908366533865,7.5
"396","DuPont Teijin Films US Limited Partnership",1,2001,68,2,1.01470588235294,1,2.79411764705882,2
"397","Duquesne University of the Holy Ghost",0,1992,102,2,1.13725490196078,1.5,1.87254901960784,1.5
"398","Dymax",0,1995,3,0,1,0,2.66666666666667,0
"399","Dynamic Solutions Worldwide",0,2014,4,1,1,1,1,1
"400","E I du Pont de Nemours and Company",1.5,1976,14346,38,1.02690645476091,1.19444444444444,2.22298946781056,3.44444444444444
"401","E I du Pont de Nemours and Company duPont Displays",0,2010,2,1,1,1,3,3
"402","E Ink",0,1978,348,3,1.02298850574713,1,4.5,2
"403","Easel Biotechnologies",1,2015,4,1,1,1,3.25,3
"404","East China University of Science and Technology",0,1993,52,5,1.38461538461538,2.25,6.46153846153846,5.75
"405","Eastman Chemical Company",2,1992,1712,4,1.00467289719626,1,3.36098130841122,5.5
"406","Eastman Kodak Company",1,1976,21449,10,1.00153853326495,1,2.38351053907853,3.2
"407","Eaton",0,2013,1,0,1,0,2,0
"408","Echogen Power Systems",0,2011,32,1,1,1,2.375,1
"409","EchoStar Technologies",0,2017,22,0,1,0,1.54545454545455,0
"410","Ecolab",0,1987,1607,3,1.00435594275047,1,3.48754669987547,4.66666666666667
"411","Ecole Normale Superieure de Cachan",0,2000,47,1,2.87234042553191,3,4.14893617021277,7
"412","ECOSYNTHETIX",0,2015,5,1,1,1,2.6,3
"413","Ecovative Design",0,2011,13,1,1,1,2.61538461538462,2
"414","Egenera",0,2005,14,0,1,0,5,0
"415","Eisai Co",0,1991,1,0,1,0,12,0
"416","ELC Management",0,1999,283,1,1.00353356890459,1,2.86219081272085,2
"417","Elcriton",0,2016,1,1,1,1,2,2
"418","Electrix",0,2015,1,0,1,0,2,0
"419","Electronic Warfare Associates",0,1988,19,1,1.05263157894737,1,2.36842105263158,2
"420","Electronics and Telecommunications Research Institute",1.5,1987,7542,30,1.15407053831875,1.03448275862069,4.53831874834261,4.89655172413793
"421","Electrovaya",0,1979,11,1,1,1,2.81818181818182,4
"422","Element One",0,2013,3,1,1,1,2.66666666666667,3
"423","Elenion Technologies",0,2007,38,1,1,1,3.42105263157895,4
"424","Elwha",1,2013,881,2,1,1,7.57434733257662,6.5
"425","Em-Tech",0,2014,2,0,1,0,2,0
"426","EMC",0,1993,34,0,1.14705882352941,0,2.85294117647059,0
"427","Emory University",0,1985,627,1,1.34290271132376,1,3.37799043062201,2
"428","Empire Technology Development",1,2010,1677,17,1.00059630292188,1,1.46511627906977,1.41176470588235
"429","ENERGY ENGINEERING SYSTEMS",0,2012,2,1,1,1,2,2
"430","ENERGY INDEPENDENCE OF AMERICA CORP",0,2016,1,1,1,1,3,3
"431","Energysolutions",2,2010,12,2,1,1,3.5,1
"432","Enginuity Worldwide",0,2014,5,1,1,1,1.6,3
"433","Englewood Lab",1,2016,2,2,1,1,2,2
"434","ENI SpA",1,2000,261,6,1.62835249042146,1.6,3.60536398467433,5.2
"435","ENI Technology",2,1998,52,4,1,1,2.23076923076923,4
"436","eNow",0,1991,5,1,1,1,3.8,5
"437","Ensyn Renewables",1,2005,27,3,1.03703703703704,1,2.37037037037037,3.66666666666667
"438","Entech Solar",0,2015,5,1,1,1,2,1
"439","Entegris",1,2001,408,3,1.00980392156863,1,3.22549019607843,2.33333333333333
"440","Envision Solar",0,2014,3,1,1,1,2.33333333333333,3
"441","Envisionit",0,2010,22,1,1,1,2.68181818181818,2
"442","EPCOS AG",0,2000,638,1,1.02037617554859,1,2.76175548589342,6
"443","Epizyme",1,2013,81,1,1.03703703703704,2,4.64197530864198,7
"444","ESCAPE THERAPEUTICS",1,2014,10,2,1,1,1.3,1.5
"445","eSionic Corp",0,2015,3,1,1,1,2,1
"446","Ethicon Endo-Surgery",105,1994,2156,2,1.00834879406308,1,3.93549883990719,8.5
"447","Ethox Chemicals",0,2000,35,1,1,1,2.05714285714286,3
"448","Everspin Technologies",1.33333333333333,2008,210,5,1.00952380952381,1.25,3.22857142857143,4.75
"449","Evoqua Water Technologies",0,2014,113,1,1,1,2.71681415929204,3
"450","Evri",0,1985,62,1,1,1,2.67741935483871,1
"451","Exatec",0,2001,50,1,1.04,2,2.76,2
"452","Excelsior Nanotech",0,2016,1,1,1,1,2,2
"453","EXOS",0,2015,6,1,1,1,1.66666666666667,1
"454","Express Imaging Systems",2,2012,47,2,1,1,1.51063829787234,1
"455","Extech/Exterior Technologies",0,1996,19,1,1,1,2.15789473684211,2
"456","ExxonMobil Chemical Patents",1,2001,2416,7,1.02649006622517,1,3.85306291390728,3.57142857142857
"457","ExxonMobil Research and Engineering Company",0,2000,1357,10,1.01694915254237,1.11111111111111,4.09064112011791,4.22222222222222
"458","ExxonMobil Upstream Research Company",0,2000,908,1,1.03964757709251,1,3.34911894273128,4
"459","Facebook",0,2010,2244,1,1,1,2.9674688057041,1
"460","Fairchild Semiconductor",0,1986,1240,1,1.0008064516129,1,2.25,1
"461","FastCAP Systems",2,2014,11,1,1,1,4.27272727272727,5
"462","Faurecia Interior Systems",0,2007,65,1,1,1,1.93846153846154,3
"463","Fayetteville State University",0,2013,4,1,1,1,1,1
"464","Federal Signal",1,1977,120,1,1.03333333333333,1,2.26666666666667,2
"465","FEI Company",0,1993,486,4,1.02469135802469,1.33333333333333,3.20987654320988,2.66666666666667
"466","Fenwal",0,2003,173,1,1.02312138728324,1,3.14450867052023,1
"467","Ferric",0,1990,14,1,1.14285714285714,1,2.07142857142857,1
"468","Ferro",0,1977,15,0,1,0,2.93333333333333,0
"469","Fezza Family Properties",0,2015,2,1,1,1,1,1
"470","Fianium",0,2008,32,1,1,1,3.28125,2
"471","Fina Technology",0,1988,615,3,1,1,2.77560975609756,3
"472","Finisar",0,1986,1361,1,1,1,2.45187362233652,3
"473","First Solar",1,1999,217,11,1.0184331797235,1,3.44700460829493,2.63636363636364
"474","FlashSiliconorporation",0,2009,21,2,1,1,1,1
"475","Flextronics AP",1,2006,405,4,1.00246913580247,1,2.37037037037037,3.5
"476","FLIR Systems",0,1977,282,2,1.04255319148936,1,3.69858156028369,3
"477","Floadia",1,2001,13,2,1,1,3.53846153846154,3.5
"478","FLOW CONTROL",0,2012,24,1,1,1,2.41666666666667,2
"479","Fluidigm",1,2004,142,1,1.02816901408451,1,4.36619718309859,1
"480","Ford Global Technologies",1.33333333333333,1997,12688,8,1.01056116015132,1,3.08835119798235,4.5
"481","Forest Concepts",0,2002,32,1,1,1,2.75,2
"482","Foret Plasma Labs",0,2008,59,2,1,1,1,1
"483","Formula Plastics",0,2013,5,1,1,1,1,1
"484","Forsyth Dental Infirmary for Children",1,1978,54,1,1.09259259259259,2,2.31481481481481,4
"485","FPInnovations",1,2007,61,6,1.04918032786885,1,3.0327868852459,3
"486","Fred Hutchinson Cancer Research Center",0,1986,158,3,1.23417721518987,2,3.26582278481013,5.5
"487","Freescale Semiconductor",1.25,2004,5537,33,1.01517067003793,1,2.74914213473,2.72727272727273
"488","FRONT EDGE TECHNOLOGY",0,2001,25,1,1,1,2.8,1
"489","Fuji Electric Co",2.25,1976,4909,56,1.06742717457731,1.10714285714286,2.09227948665716,2.58928571428571
"490","Fuji Xerox Co",1,1976,10074,6,1.02322811197141,1,2.98302561048243,4.33333333333333
"491","FUJIFILM",0,1986,5,0,1,0,2.8,0
"492","FUJIFILM Dimatix",0,2007,153,1,1.00653594771242,1,2.79738562091503,4
"493","Fujitsu Limited",1,1976,34910,44,1.05419650529934,1.06976744186047,2.62756388220465,2.30232558139535
"494","Fujitsu Semiconductor Limited",2,2001,1680,23,1.04404761904762,1.04347826086957,2.12261904761905,2.30434782608696
"495","FULL CIRCLE BIOCHAR",1,2013,4,1,1,1,2.75,3
"496","FutureWei Technologies",0,2000,1804,2,1.00942350332594,1,2.72394678492239,4.5
"497","fybr",0,2014,2,0,1,0,2,0
"498","Galectin Therapeutics",1,2012,14,1,1.07142857142857,1,3.07142857142857,3
"499","GangaGen",0,2005,11,1,1,1,3.45454545454545,3
"500","Gardner-Gibson",0,2016,3,1,1,1,3,3
"501","Garland Industries",0,1989,36,1,1,1,2.13888888888889,2
"502","Garrity Power Services",1,2016,5,2,1,1,1.8,2
"503","Gas Technology Institute",0,2002,201,3,1.04975124378109,1,2.77611940298507,2.66666666666667
"504","GCP Applied Technologies",0,2016,13,1,1.07692307692308,1,3.76923076923077,3
"505","GDO",0,2002,14,0,1,0,2,0
"506","GE Healthcare Dharmacon",0,2014,9,2,1.11111111111111,1,3.66666666666667,1.5
"507","GE Healthcare Limited",0,2005,211,1,1.1042654028436,1,3.38388625592417,2
"508","GE-Hitachi Nuclear Energy Americas",0,2009,163,2,1,1,3.01840490797546,2.5
"509","Gemex Systems",0,2008,6,1,1,1,2.16666666666667,2
"510","GEN-PROBE",1,1990,514,1,1.03891050583658,1,3.32490272373541,4
"511","GENCO SCIENCES",0,2016,1,1,1,1,1,1
"512","Genentech",0,1995,4,0,1.5,0,5.5,0
"513","GENERAL ELECTRIC COMPANY",1.6,1976,43038,26,1.00566940842976,1,2.6579760659928,4.15384615384615
"514","General Engineering & Research",0,2015,2,1,1,1,1,1
"515","GENERAL MOTORS",1,1992,492,1,1.0630081300813,1,2.86178861788618,3
"516","Genesco",0,1977,100,2,1.1,1,3.19,3.5
"517","Genia Technologies",1,1999,41,7,1,1,1.95121951219512,2.71428571428571
"518","Genisphere",0,2009,14,1,1.07142857142857,1,3,2
"519","Genomatica",0,2006,91,5,1.01098901098901,1.2,4.18681318681319,5
"520","Genomic Health",0,2006,44,1,1.47727272727273,1,4.63636363636364,8
"521","Genzyme",0,2003,1,0,2,0,14,0
"522","George Mason Research Foundation",0,2013,26,1,1.11538461538462,1,3.57692307692308,8
"523","Georgetown University",0,1977,315,2,1.18730158730159,1,3.08253968253968,3.5
"524","Georgia-Pacific Gypsum",0,2004,2,0,1,0,1.5,0
"525","GeoSynFuels",0,2011,4,1,1,1,2.5,3
"526","GEOTHERMAL ENERGY PROJECT",0,2016,2,2,1,1,3,3
"527","Gestion Ultra",0,2002,9,1,1,1,3.66666666666667,5
"528","GIGA SOLAR FPC",0,2017,1,1,1,1,1,1
"529","Gilead Biologics",1,2013,14,2,1,1,4.85714285714286,2
"530","Gilead Connecticut",6,2011,25,1,1.2,1,6.8,2
"531","Gilead Sciences",1,1992,551,2,1.07441016333938,1,5.68058076225045,8
"532","GlassPoint Solar",1.5,2014,14,3,1,1,2.64285714285714,3
"533","GLIKNIK",1,2014,5,2,1.8,2,3.6,4
"534","Global Eagle Entertainment",0,2016,10,1,1,1,1.6,1
"535","Global Filtration Systems",0,2012,18,1,1,1,1.94444444444444,2
"536","Global OLED Technology",4,2010,262,4,1.00763358778626,1,2.53053435114504,1
"537","Global Solar Water Power Systems",0,2014,2,1,1,1,1.5,2
"538","GLOBALFOUNDRIES",1.53125,2009,4244,120,1.0933081998115,1.03333333333333,3.75329877474081,3.75
"539","Globus Medical",0,2006,625,1,1,1,3.2544,6
"540","Glucan Biorenewables",0,2016,1,1,2,2,6,3
"541","GLYCON",0,1998,4,0,1,0,2.25,0
"542","GM Global Technology Operations",1.6,2006,12135,16,1.05158632056036,1.13333333333333,2.92047795632468,2.73333333333333
"543","GOAL ZERO",0,2009,39,1,1,1,4.07692307692308,9
"544","GOJO Industries",0,1977,304,1,1,1,2.46710526315789,1
"545","GOLBA",8,2008,79,1,1,1,1.12658227848101,1
"546","Google",0,2014,1,0,1,0,1,0
"547","GOOGLE TECHNOLOGY HOLDINGS",0,2014,1067,1,1.00187441424555,1,2.91283973758201,2
"548","GOSOLARLIFE",0,2016,1,1,1,1,1,1
"549","GR Intellectual Reserve",0,2007,20,2,1,1,2.7,4.5
"550","Gracenote",1,2007,95,1,1.01052631578947,1,3.18947368421053,4
"551","Grain Processing",1,1976,135,1,1.01481481481481,1,2.42222222222222,1
"552","Gram Power",2,2015,2,1,1,1,2,2
"553","Grandis",2.5,2004,119,2,1.11764705882353,1,2.48739495798319,5
"554","Graphene Technologies",0,2016,1,1,1,1,4,4
"555","Great American Duck Races",2,2005,3,1,1,1,2,4
"556","Greatbatch",0,2006,413,1,1.00242130750605,1,3.63922518159806,1
"557","Green Box Batteries",0,2016,1,1,1,1,2,2
"558","Green Extraction Technologies",1,2016,2,1,1,1,1,1
"559","Green Solar Transportation",0,2013,3,1,1,1,2,2
"560","GREENFIELD MASTER IPCO LIMITED",1.5,2016,2,2,1,1,3.5,3.5
"561","GREENHILL ANTIBALLISTICS",2,2015,3,1,1,1,2.33333333333333,2
"562","Greggory Tate Homrighous and Frank Bryan Homrighous",0,2016,1,1,1,1,3,3
"563","Greyrock Energy",0,2014,6,1,1,1,2,2
"564","GROW ENERGY",0,2016,1,1,1,1,2,2
"565","Gula Consulting Limited Liability Company",1,2011,39,2,1,1,2.25641025641026,1
"566","H R D",0,1998,123,1,1,1,4.42276422764228,3
"567","Hadasit Medical Research Services & Development Company",0,1992,137,2,1.58394160583942,2,3.35036496350365,4.5
"568","Haier US Appliance Solutions",0,2016,308,1,1,1,2.11038961038961,2
"569","Halliburton Energy Services",4,1993,5901,5,1.00982884256906,1,2.8013895949839,2.8
"570","HAMAMATSU PHOTONICS KK",2.25,1988,1708,19,1.07201405152225,1,3.0556206088993,3.36842105263158
"571","Hamilton Sundstrand",1.5,2000,1913,2,1.00731834814428,1,2.18975431259801,1.5
"572","Handstand Innovations",0,2015,2,1,1,1,3,3
"573","Handylab",9,2003,75,1,1,1,2.72,2
"574","HARMAN INDUSTRIES",0,2015,1,0,1,0,2,0
"575","Harris",0,1988,2,0,1,0,2,0
"576","Headway Technologies",1,1997,1038,4,1.2514450867052,1,4.83815028901734,4.5
"577","Heat Seal",0,2016,1,1,1,1,3,3
"578","Heidelberger Druckmaschinen AG",0,1978,2181,1,1.04172397982577,1,2.25217790004585,2
"579","Heliae Development",1,2011,76,2,1,1,1.59210526315789,3
"580","Helios Focus",1,2014,3,1,1,1,2,2
"581","Henkel AG & Co KGaA",0,2008,819,5,1.07448107448107,1,3.51159951159951,2.6
"582","Her Majesty the Queen in right of Canada",0,1979,45,0,1.04444444444444,0,2.08888888888889,0
"583","Heraeus Precious Metals North America Conshohocken",3,2013,25,4,1,1,3.6,3.5
"584","Hewlett Packard Enterprise Development LP",1,2015,1047,2,1.00382043935053,1,2.78127984718243,3
"585","Hewlett-Packard Indigo BV",1,2003,152,1,1,1,3.64473684210526,3
"586","HGST NETHERLANDS BV",1,2012,980,7,1.00204081632653,1,3.43163265306122,4.14285714285714
"587","HIQ SOLAR",0,2016,6,1,1,1,1.16666666666667,1
"588","Hitachi",2,1976,38879,30,1.14771470459631,1.14814814814815,3.952236425834,3.74074074074074
"589","Hitachi High-Technologies",0,2003,2528,4,1.05696202531646,1,3.90901898734177,3.75
"590","Hitachi Metals",0,1986,6,0,1,0,3.16666666666667,0
"591","Hollingsworth & Vose Company",2,1978,75,1,1,1,2.10666666666667,2
"592","Hollywood Trucks",0,2016,1,1,1,1,3,3
"593","Hon Hai Precision Industry Co",1.33333333333333,1995,18417,123,1.3492425476462,1.95934959349593,2.43671607753706,3.63414634146341
"594","Honda Motor Co",0,2008,4,0,1.25,0,3,0
"595","Honeywell",0,2000,11002,4,1.00290856207962,1,2.72323213961098,1.5
"596","Hosiden",0,1991,664,2,1.10240963855422,1,2.05873493975904,1.5
"597","HOWARD INDUSTRIES",0,1985,100,1,1.02,1,2.91,7
"598","Howard University",1,1993,50,1,1.1,1,1.92,1
"599","Hoya",0,1977,2258,11,1.04738706820195,1,2.13203367301728,3.90909090909091
"600","HRL Laboratories",2,2000,1274,5,1.02904238618524,1,2.80455259026688,3.4
"601","HTC",0,1976,1809,2,1.01105583195135,1,2.49695964621338,1.5
"602","HTS",0,1991,1,0,1,0,5,0
"603","Humanetics",2,1993,41,2,1,1,2.14634146341463,3.5
"604","Hunt Energy Enterprises",1,2012,27,5,1,1,3.7037037037037,2.6
"605","Hunter Douglas",0,1981,573,1,1,1,2.3891797556719,3
"606","Hynix Semiconductor",0,2001,6242,1,1.00512656199936,1,1.73309836590836,1
"607","Hysitron",0,2007,20,0,1,0,4.6,0
"608","Hyundai Motor Company",0,1988,7002,25,1.34932876321051,1.63636363636364,3.20051413881748,5.40909090909091
"609","iBio",0,2001,18,1,1.05555555555556,1,2.83333333333333,3
"610","Ibis Biosciences",0,2010,99,2,1,1,4.93939393939394,1.5
"611","Icahn School of Medicine at Mount Sinai",0,2013,86,4,1.47674418604651,1.75,4.44186046511628,4.25
"612","IDEA TREE",0,2017,2,1,1,1,1,1
"613","Ideal Power",1,2013,50,1,1,1,1.7,1
"614","IDEALAB",0,2003,8,1,1,1,1.375,1
"615","IDEX Health & Science",1,2009,43,2,1,1,2.27906976744186,2
"616","Ignis Innovation",1,2007,158,2,1,2,2.80379746835443,4
"617","II-VI",1,1979,60,1,1.01666666666667,1,3.48333333333333,6
"618","III HOLDINGS 1",0,2014,242,1,1,1,2.83057851239669,2
"619","Illinois Institute of Technology",0,1987,143,1,1.11888111888112,1,2.62237762237762,2
"620","Illinois Tool Works",0,1976,5145,2,1.00233236151603,1,2.15007776049767,2.5
"621","IMDS",0,2007,5,0,1,0,3.8,0
"622","IMEC",2,1996,535,4,1.49158878504673,1.75,3.49906542056075,4
"623","Immunolight",2,2013,37,3,1.64864864864865,2,9.54054054054054,16
"624","Immunopath Profile",0,1990,17,1,1,1,1,1
"625","Imperial Innovations Limited",0,2006,123,1,1.13008130081301,1,3.59349593495935,2
"626","IMRA America",0,1992,271,2,1.04428044280443,2,3.06666666666667,7
"627","Inaeris Technologies",1,2006,28,11,1,1,3.21428571428571,3.18181818181818
"628","iNanoBio",2,2016,1,1,2,2,2,2
"629","Incept",0,2000,108,3,1,1,2.90740740740741,2.66666666666667
"630","Incyte Holdings",0,2015,70,1,2,2,4.42857142857143,5
"631","Industrial Origami",0,2005,26,1,1,1,2.07692307692308,2
"632","Industrial Science & Technology Network",0,1999,6,1,1,1,2.16666666666667,1
"633","Industrial Solar Heating Systems",0,2016,1,1,1,1,3,3
"634","Industrial Technology Research Institute",2,1982,7090,19,1.07165021156559,1,3.41452750352609,4.31578947368421
"635","INENTEC",0,2010,6,0,1.33333333333333,0,4.16666666666667,0
"636","Infineon Technologies AG",1.66666666666667,2000,12251,20,1.03682233834095,1,2.63545068582626,2.95
"637","Infineon Technologies Americas Corp",1,2015,202,5,1,1,2.31188118811881,1.6
"638","Infinera",1,1977,456,2,1.00219298245614,1,3.74122807017544,8.5
"639","INFINEUM LIMITED",0,2002,155,1,1.03225806451613,1,3.08387096774194,3
"640","Innolux",1,1978,514,6,1.12451361867704,1,2.87548638132296,3
"641","Innovalight",0,2007,35,1,1.02857142857143,1,3.91428571428571,7
"642","Innovation Hammer",1,2015,4,2,1,1,1,1
"643","Institut National de la Sante et de la Recherche Medicale (Inse",0,1976,0,0,2.2046204620462,2.55555555555556,4.75742574257426,3.44444444444444
"644","Institut Pasteur",2,1977,738,6,1.59078590785908,2,4.63414634146341,3.16666666666667
"645","Institute for Systems Biology",0,2004,55,1,1.27272727272727,1,3.63636363636364,2
"646","Institute of Advanced Study",0,1993,2,1,1,1,3,5
"647","Instron",1.66666666666667,1977,298,9,1.02013422818792,1,2.98993288590604,4.22222222222222
"648","Integrated Device Technology",0,1987,1063,1,1,1,2.09407337723424,3
"649","Integrated DNA Technologies",0,2001,52,3,1.21153846153846,2,4.55769230769231,3
"650","Integrated Nano-Technologies",0,1998,11,1,1,1,3.54545454545455,8
"651","Integrated Solar Technology",0,1989,2,1,1,1,1.5,1
"652","Intel",0,1991,5,0,1.4,0,3.4,0
"653","INTEL IP",0,2001,802,2,1.00623441396509,1,3.19700748129676,5.5
"654","Intellectual Keystone Technology",0,2014,7,3,1,1.5,4.85714285714286,13.5
"655","Intercontinental Great Brands",0,2013,128,1,1.046875,1,4.0625,5
"656","Interez",0,1976,172,1,1.06976744186047,1,2.62790697674419,1
"657","Interface Performance Materials",0,2016,4,1,1,1,2.25,2
"658","Intermolecular",0,2007,723,9,1.33609958506224,1.33333333333333,4.0567081604426,4.33333333333333
"659","International AIDS Vaccine Initiative",1,2003,21,1,1.71428571428571,3,12.5238095238095,14
"660","International Business Machines",1.83783783783784,1976,119229,274,1.01589378423035,1.08550185873606,3.32431412347874,3.99256505576208
"661","International Technology Center",1,1986,36,5,1.05555555555556,1,2.58333333333333,2.6
"662","Intrexon CEU",0,2016,2,1,1,1,2.5,3
"663","IntriEnergy",0,2016,2,1,1,1,1.5,1
"664","Intuitive Surgical Operations",0,2010,750,1,1.00266666666667,1,3.30266666666667,1
"665","Invensas",0,1977,412,5,1,1,3.15776699029126,3.2
"666","Inventus Holdings",2,2014,14,1,1,1,3.28571428571429,6
"667","InView Technology",1,2013,18,1,1,1,3.72222222222222,2
"668","InVisage Technologies",2.6,1990,80,5,1,1,3.675,5.8
"669","INVISTA North America Sarl",0,2004,336,1,1.00297619047619,1,2.5922619047619,4
"670","Ion Power Group",0,2014,4,1,1,1,1,1
"671","Iowa State University Research Foundation",1,1976,1042,5,1.10076775431862,1,2.71017274472169,2.4
"672","Isis Pharmaceuticals",0,1992,1142,2,1.07267950963222,1.5,3.19789842381786,4
"673","Ivoclar Vivadent AG",0,2001,325,1,1.05230769230769,1,3.46461538461538,2
"674","J E WHITE",0,2013,2,1,1,1,1,1
"675","JAC Products",0,1978,104,1,1,1,2.33653846153846,3
"676","Janssen Biotech",0,2011,149,1,1.05369127516779,1,5.40939597315436,4
"677","JFE STEEL",0,2004,654,3,1.05963302752294,1,4.40061162079511,3.66666666666667
"678","JNC",0,1978,527,2,1.6584440227704,2,3.07020872865275,3.5
"679","John Hopkins University",0,1983,131,1,1.44274809160305,1,4.9236641221374,2
"680","Johns Hopkins Univ",2,1976,2071,24,1.17189763399324,1.08333333333333,3.40753259295027,4.375
"681","Johns Manville",0,1998,178,0,1.01123595505618,0,2.6685393258427,0
"682","Johnson & Johnson Vision Care",0,2014,1,0,1,0,3,0
"683","Johnson Controls Technology Company",0,1998,1151,2,1.02953953084275,1,3.22241529105126,4.5
"684","JOLED",1,1986,390,22,1.03333333333333,1.04545454545455,2.29230769230769,2.13636363636364
"685","Joule Unlimited Technologies",0,2011,26,2,1,1,3.76923076923077,2
"686","JSI Equipment Solutions",0,2015,2,1,1,1,2.5,3
"687","JSR",0,1976,1044,3,1.22318007662835,1.66666666666667,4.06034482758621,5.33333333333333
"688","JX Nippon Mining & Metals",0,2011,3,0,1,0,1.66666666666667,0
"689","k-Space Associates",0,2008,6,1,1,1,4,5
"690","KAI Pharmaceuticals",2,2007,23,2,1,1,3.08695652173913,4.5
"691","Kajima",0,1976,143,1,1.37062937062937,3,4.76923076923077,7
"692","Kala Pharmaceuticals",2,2003,26,5,1.07692307692308,1,5.03846153846154,4
"693","Kamtec",0,2015,2,1,1,1,7,7
"694","Kaneka",0,1978,1211,15,1.10487200660611,1.06666666666667,3.30140379851363,3.33333333333333
"695","Kansai Paint Co",0,1976,588,3,1.14965986394558,1,3.59795570698467,4
"696","Kansas State University Research Foundation",1,1976,254,6,1.17322834645669,1.66666666666667,2.82677165354331,3.16666666666667
"697","Kansei",0,1977,73,1,1.12328767123288,1,2.54794520547945,2
"698","Kao",0,1976,6448,2,1.03676698727893,1,3.23006515668632,4.5
"699","Karsten Manufacturing",0,1984,963,1,1,1,2.45482866043614,1
"700","Kashiv Pharma",0,2016,3,1,1,1,3.66666666666667,5
"701","Katholieke Universiteit Leuven",0,1999,612,4,1.88235294117647,2,8.35294117647059,3
"702","Kawasaki Jukogyo Kabushiki Kaisha",0,1976,2045,2,1.12469437652812,1,2.94767726161369,4.5
"703","Kemira OY",0,1977,166,1,1.07831325301205,1,3.08433734939759,3
"704","Kent State University",0,1976,171,2,1.11695906432749,1,3.05847953216374,3
"705","Kerr",0,1987,95,2,1,1,1.66315789473684,1.5
"706","Kia Motors",0,1992,1840,3,1.98967391304348,2.33333333333333,5.02717391304348,3.66666666666667
"707","Kimberly-Clark Worldwide",2,1997,4516,5,1.00199291408326,1,3.79937998228521,2.6
"708","Kinestral Technologies",6,2014,24,1,1,1,4.70833333333333,2
"709","Kinetech Power Company",0,2016,1,1,1,1,1,1
"710","King Electric Vehicles",0,2017,2,1,1,1,1,1
"711","KINO",0,2001,11,0,1,0,1.54545454545455,0
"712","Kiverdi",0,2015,6,2,1,2,3.66666666666667,6
"713","KJ BIOSCIENCES",1,2016,2,1,1,1,1,1
"714","KLA-Tencor",0,2001,4,0,1,0,4,0
"715","Koch Biological Solutions",1,2016,3,2,1,1,3.66666666666667,5
